LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,HeadPitch,LHand,RHand
-0.8337086,1.345304,-0.3921051,-1.342333,0.1207881,-1.491265,-1.376435,-0.1875605,1.288098,-0.2721433,-0.0115596,1,1
-1.075179,1.238141,-0.1671668,-1.134402,0.1089497,-1.560656,-1.397574,-0.2600491,1.230317,-0.3010121,-0.01639373,1,1
-1.186154,1.246858,-0.03141034,-1.085803,0.1550164,-1.457138,-1.275034,-0.1857619,1.109365,-0.2666558,-0.02656641,1,1
-1.253455,1.166306,0.09807628,-0.9338532,0.03615395,-1.456642,-1.263643,-0.2019333,1.075056,-0.2679795,-0.03412618,1,1
-1.261745,1.166566,0.1401511,-0.8996503,0.0739656,-1.413148,-1.22794,-0.1855524,0.9879486,-0.2678694,-0.03845245,1,1
-1.282647,1.161832,0.2466679,-0.8329619,0.07060131,-1.381111,-1.207242,-0.1931205,0.9221984,-0.3146775,-0.04315971,1,1
-1.243472,1.199577,0.2533917,-0.8183516,-0.02165797,-1.3204,-1.219908,-0.1964235,0.8734335,-0.2416267,-0.05112007,1,1
-1.216916,1.229986,0.2542454,-0.8329282,-0.05435973,-1.351327,-1.20578,-0.2684539,0.8430606,-0.1982542,-0.05998719,1,1
-1.167176,1.269588,0.2130911,-0.888836,-0.04608635,-1.268343,-1.276369,-0.242991,0.873053,-0.2274253,-0.06818159,1,1
-1.130427,1.288892,0.2011789,-0.9267004,-0.06242185,-1.351556,-1.234226,-0.3568091,0.8565053,-0.1917225,-0.06877632,1,1
-0.7846764,1.305089,-0.2071449,-0.8611028,0.1112019,-1.269314,-1.307781,-0.2922514,0.8923748,-0.0980382,-0.06888966,1,1
-0.7356354,1.350088,-0.2399601,-0.8993182,0.1256128,-1.359756,-1.290877,-0.4140917,0.8794135,-0.1044258,-0.06895894,1,1
-0.9192507,1.403796,-0.03575525,-0.913541,0.1156432,-1.239942,-1.290141,-0.2095239,0.8447252,-0.1883866,-0.06768656,1,1
-0.7740804,1.310255,-0.1651579,-0.8010411,0.1064019,-1.183764,-1.312354,-0.1950495,0.8517344,-0.1166873,-0.06740192,1,1
-0.6362824,1.352236,-0.3062138,-0.8084161,0.1397738,-1.191366,-1.309343,-0.15802,0.8408337,0.06953292,-0.06792679,1,1
-1.235306,1.431834,0.3429708,-0.8064878,0.2142073,-1.393018,-1.273049,-0.3974105,0.8166946,0.01922644,-0.06437095,1,1
-2.238432,1.448654,1.393866,-0.8655585,0.00218435,-1.422617,-1.276031,-0.3945053,0.8175409,0.01346847,-0.06071258,1,1
-2.599273,1.320819,1.367048,-0.8478485,-0.3698122,-1.279387,-1.293279,-0.2853294,0.8002625,0.04737139,-0.05759947,1,1
-2.989292,1.163862,0.9797879,-0.9580137,-0.7506902,-1.280252,-1.234188,-0.2712285,0.7512916,0.03717442,-0.04905405,1,1
-2.905386,1.044491,0.973027,-0.8483478,0.03878843,-1.314161,-1.157797,-0.350619,0.7395482,-0.0004799046,-0.04584683,1,1
-2.808752,0.975069,0.9692929,-0.6827645,0.1358364,-1.238067,-1.112671,-0.2260334,0.7096766,-0.0311615,-0.04454159,1,1
-2.820177,0.9757184,1.168144,-0.5475711,0.1358364,-1.182494,-1.165216,-0.1464667,0.7601165,-0.1402501,-0.04295675,1,1
-2.820976,0.9741388,1.400245,-0.4157868,0.1358364,-1.008605,-1.066608,0.06393882,0.7109835,-0.1872555,-0.04159556,1,1
-2.828817,0.9716086,1.388081,-0.4107212,0.1358364,-1.142103,-1.082082,-0.163615,0.7597267,-0.03346692,-0.03480175,1,1
